author_id,author_name,n_collaborators,weighted_collaborations,betweenness_bridge_score,community_id,n_papers,n_distinct_topics,topics
https://openalex.org/A5075292386,Ronald R. Braeutigam,0,0,0.0,553,1,1,Applied / International Trade
https://openalex.org/A5111506040,Árpád Ábrahám,3,3,0.0,139,1,1,Macro / Financial Markets & Stability
https://openalex.org/A5039952305,Eva Cárceles‐Poveda,3,3,0.0,139,1,1,Macro / Financial Markets & Stability
https://openalex.org/A5100351054,Yan Liu,3,3,0.0,139,1,1,Macro / Financial Markets & Stability
https://openalex.org/A5088068145,Ramón Marimon,3,3,0.0,139,1,1,Macro / Financial Markets & Stability
https://openalex.org/A5083863734,Dino Gerardi,2,2,0.0,33,1,1,Micro / General Economic Theory
https://openalex.org/A5084010053,Lucas Maestri,6,6,0.0,33,2,2,Micro / Auctions & Market Design; Micro / General Economic Theory
https://openalex.org/A5009483636,Ignacio Monzón,2,2,0.0,33,1,1,Micro / General Economic Theory
https://openalex.org/A5017988876,Maria Waldinger,0,0,0.0,554,1,1,Applied / Environmental & Energy Economics
https://openalex.org/A5101636558,Stephen Terry,2,2,0.0,0,2,2,Macro / Business Cycles & Growth; Macro / Financial Markets & Stability
https://openalex.org/A5049361598,Ludwig Straub,9,11,0.00071,5,5,3,Applied / Health Economics; Macro / Fiscal Policy; Macro / Monetary Policy & Central Banking
https://openalex.org/A5037084769,Robert Ulbricht,3,3,0.00018,5,2,2,Applied / Labor Economics; Macro / Monetary Policy & Central Banking
https://openalex.org/A5010637567,Julien Combe,6,7,0.00031,12,2,2,Applied / Education Economics; Applied / Health Economics
https://openalex.org/A5009044020,Olivier Tercieux,6,7,0.00031,12,2,2,Applied / Education Economics; Applied / Health Economics
https://openalex.org/A5045412548,Camille Terrier,2,2,0.0,12,1,1,Applied / Education Economics
https://openalex.org/A5012360255,Ulrich Doraszelski,2,2,0.0,15,1,1,Micro / Auctions & Market Design
https://openalex.org/A5067722548,Katja Seim,4,4,1e-05,15,2,2,Micro / Auctions & Market Design; Micro / Industrial Organization & Competition
https://openalex.org/A5065606021,Michael Sinkinson,2,2,0.0,15,1,1,Micro / Auctions & Market Design
https://openalex.org/A5071671028,Nelli Valmari,0,0,0.0,555,1,1,Applied / International Trade
https://openalex.org/A5025248285,Mark Shepard,1,1,0.0,513,2,1,Applied / Health Economics
https://openalex.org/A5050669034,Benjamin Bernard,0,0,0.0,556,1,1,Micro / Auctions & Market Design
https://openalex.org/A5111222618,Jie Bai,3,3,0.0,21,2,2,Applied / International Trade; Micro / Industrial Organization & Competition
https://openalex.org/A5062750519,Scott T. Nelson,0,0,0.0,557,1,1,Micro / Industrial Organization & Competition
https://openalex.org/A5020377010,Elliott Ash,4,4,1e-05,29,2,1,Applied / Political Economy & Governance
https://openalex.org/A5017324980,Daniel L. Chen,2,2,0.0,29,1,1,Applied / Political Economy & Governance
https://openalex.org/A5043371757,Suresh Naidu,6,6,1e-05,29,3,3,Applied / Education Economics; Applied / Labor Economics; Applied / Political Economy & Governance
https://openalex.org/A5030866489,Alexander W. Cappelen,6,8,0.00044,0,3,3,Applied / Development Economics; Applied / Health Economics; Applied / Labor Economics
https://openalex.org/A5063325298,Gary Charness,4,4,0.0,0,1,1,Applied / Health Economics
https://openalex.org/A5102894676,Mathias Ekström,4,4,0.0,0,1,1,Applied / Health Economics
https://openalex.org/A5004495825,Uri Gneezy,4,4,0.0,0,1,1,Applied / Health Economics
https://openalex.org/A5017105549,Bertil Tungodden,6,8,0.00044,0,3,3,Applied / Development Economics; Applied / Health Economics; Applied / Labor Economics
https://openalex.org/A5038980809,Ilse Lindenlaub,3,3,0.0,112,2,2,Applied / Labor Economics; Micro / General Economic Theory
https://openalex.org/A5011019492,Fabien Postel‐Vinay,2,2,0.0,112,2,2,Applied / Labor Economics; Micro / General Economic Theory
https://openalex.org/A5012307902,Reshmaan Hussam,5,5,0.00053,1,2,2,Applied / Development Economics; Applied / Labor Economics
https://openalex.org/A5063547355,Natalia Rigol,6,6,0.00071,1,2,2,Applied / Corporate & Household Finance; Applied / Development Economics
https://openalex.org/A5103001231,Benjamin Roth,2,2,0.0,1,1,1,Applied / Development Economics
https://openalex.org/A5045020084,Francesca Parise,1,1,0.0,4,1,1,Econometrics / Statistical & Bayesian Methods
https://openalex.org/A5067307504,Asuman Ozdaglar,6,9,9e-05,4,4,3,Econometrics / Statistical & Bayesian Methods; Micro / Game Theory & Mechanism Design; Micro / Industrial Organization & Competition
https://openalex.org/A5107479283,Anton Kolotilin,3,3,0.00062,3,2,1,Micro / Game Theory & Mechanism Design
https://openalex.org/A5010479044,Andriy Zapechelnyuk,1,1,0.0,3,1,1,Micro / Game Theory & Mechanism Design
https://openalex.org/A5045643398,Max Tabord‐Meehan,0,0,0.0,558,1,1,Econometrics / Causal Inference & Identification
https://openalex.org/A5032715383,Laura Doval,6,6,1e-05,44,3,3,Micro / Auctions & Market Design; Micro / Behavioral & Experimental Economics; Micro / Industrial Organization & Competition
https://openalex.org/A5034682157,Vasiliki Skreta,3,3,1e-05,44,3,2,Micro / Auctions & Market Design; Micro / Game Theory & Mechanism Design
https://openalex.org/A5021642585,Xiaoqi He,1,1,0.0,355,1,1,Applied / Development Economics
https://openalex.org/A5079731407,Kyungchul Song,1,1,0.0,355,1,1,Applied / Development Economics
https://openalex.org/A5003079106,Henrique Castro-Pires,2,2,0.0,213,1,1,Micro / Auctions & Market Design
https://openalex.org/A5023615727,Héctor Chade,2,2,0.0,213,1,1,Micro / Auctions & Market Design
https://openalex.org/A5037045217,Jeroen M. Swinkels,2,2,0.0,213,1,1,Micro / Auctions & Market Design
