community_id,size,top_institutions,top_topics
0,86,"National Bureau of Economic Research (11), Center for Economic and Policy Research (9), Stanford University (8)","Macro / Financial Markets & Stability (31), Applied / Labor Economics (21), Applied / Political Economy & Governance (13)"
1,78,"University of Oxford (6), University of Rochester (6), University of Chicago (6)","Applied / Labor Economics (21), Applied / Development Economics (17), Micro / Industrial Organization & Competition (11)"
2,68,"University of California, Berkeley (15), National Bureau of Economic Research (10), University of California San Diego (8)","Applied / Labor Economics (19), Applied / Development Economics (17), Macro / Fiscal Policy (12)"
3,67,"Yale University (7), Columbia University (6), Massachusetts Institute of Technology (6)","Micro / Game Theory & Mechanism Design (21), Micro / Behavioral & Experimental Economics (16), Macro / Financial Markets & Stability (12)"
4,67,"Center for Economic and Policy Research (7), National Bureau of Economic Research (7), Massachusetts Institute of Technology (6)","Micro / Industrial Organization & Competition (13), Applied / Political Economy & Governance (13), Micro / General Economic Theory (12)"
5,66,"Center for Economic and Policy Research (13), Bocconi University (8), National Bureau of Economic Research (6)","Applied / Labor Economics (20), Macro / Fiscal Policy (14), Applied / Development Economics (12)"
6,65,"University of Pennsylvania (8), Federal Reserve (8), Chinese University of Hong Kong (8)","Macro / Financial Markets & Stability (24), Micro / General Economic Theory (16), Macro / Fiscal Policy (11)"
7,63,"University of Chicago (8), National Bureau of Economic Research (7), Stanford University (3)","Applied / Health Economics (16), Macro / Financial Markets & Stability (11), Econometrics / Statistical & Bayesian Methods (8)"
8,63,"National Bureau of Economic Research (7), Harvard University (6), Massachusetts Institute of Technology (4)","Applied / Health Economics (47), Applied / Urban & Regional Economics (9), Macro / Fiscal Policy (4)"
9,54,"National Bureau of Economic Research (15), Stanford University (9), Massachusetts Institute of Technology (6)","Micro / Behavioral & Experimental Economics (14), Applied / Corporate & Household Finance (13), Applied / Labor Economics (10)"
10,52,"National Bureau of Economic Research (15), Center for Economic and Policy Research (7), University of California, Berkeley (7)","Macro / Monetary Policy & Central Banking (23), Micro / General Economic Theory (14), Macro / Financial Markets & Stability (11)"
11,44,"Princeton University (10), University of California, Berkeley (8), National Bureau of Economic Research (5)","Applied / Political Economy & Governance (12), Applied / International Trade (7), Applied / Public Finance & Taxation (6)"
12,43,"University of Chicago (5), Stanford University (5), National Bureau of Economic Research (4)","Macro / Monetary Policy & Central Banking (10), Applied / Health Economics (9), Micro / Auctions & Market Design (9)"
13,33,"National Bureau of Economic Research (7), Brown University (6), Harvard University (5)","Applied / Political Economy & Governance (12), Applied / Corporate & Household Finance (7), Applied / Health Economics (5)"
14,31,"Center for Economic and Policy Research (7), National Bureau of Economic Research (5), Dartmouth College (4)","Applied / Labor Economics (21), Applied / Urban & Regional Economics (7), Micro / Industrial Organization & Competition (5)"
15,29,"University of Wisconsin–Madison (3), University of Georgia (3), Yale University (3)","Micro / Industrial Organization & Competition (12), Applied / Education Economics (8), Micro / Auctions & Market Design (7)"
16,28,"Institute for Fiscal Studies (4), University of Oxford (2), Chinese University of Hong Kong (2)","Applied / Labor Economics (8), Applied / Health Economics (8), Applied / Education Economics (6)"
17,27,"National Bureau of Economic Research (7), Duke University (4), New York University (3)","Macro / Fiscal Policy (8), Micro / General Economic Theory (7), Macro / Financial Markets & Stability (7)"
18,23,"Massachusetts Institute of Technology (3), Universitas Gadjah Mada (3), ADA University (3)","Applied / Development Economics (6), Applied / Labor Economics (5), Micro / Behavioral & Experimental Economics (4)"
19,21,"University of Chicago (9), National Bureau of Economic Research (4), Universidad EAFIT (2)","Applied / Education Economics (12), Applied / Health Economics (5), Applied / Political Economy & Governance (4)"
20,21,"National Bureau of Economic Research (9), University of California, Berkeley (4), University of California, Los Angeles (3)","Applied / Environmental & Energy Economics (9), Applied / Health Economics (6), Applied / Political Economy & Governance (5)"
22,20,"National Bureau of Economic Research (5), University of California, Berkeley (5), Massachusetts Institute of Technology (3)","Applied / International Trade (9), Applied / Development Economics (7), Applied / Public Finance & Taxation (4)"
21,20,"Cornell University (5), Harvard University (4), Center for Economic and Policy Research (3)","Micro / Industrial Organization & Competition (9), Applied / International Trade (6), Applied / Development Economics (4)"
23,18,"Pennsylvania State University (4), Northwestern University (3), London School of Economics and Political Science (2)","Micro / Auctions & Market Design (9), Micro / Game Theory & Mechanism Design (6), Applied / Education Economics (5)"
24,15,"University of British Columbia (5), Seoul National University (4), The University of Tokyo (4)","Applied / Corporate & Household Finance (7), Micro / Auctions & Market Design (6), Micro / Game Theory & Mechanism Design (5)"
25,15,"National Bureau of Economic Research (5), Yale University (2), University of Nebraska–Lincoln (1)","Applied / Urban & Regional Economics (9), Applied / Political Economy & Governance (7), Applied / Labor Economics (3)"
26,14,"Center for Economic and Policy Research (4), Stanford University (2), BREAD (Bureau for Research and Economic Analysis of Development) (2)","Applied / Political Economy & Governance (7), Applied / Development Economics (4), Applied / Labor Economics (3)"
27,14,"National Bureau of Economic Research (3), Stanford University (2), Columbia University (2)","Macro / Financial Markets & Stability (10), Macro / Monetary Policy & Central Banking (5), Applied / Corporate & Household Finance (4)"
28,13,"National Bureau of Economic Research (3), University of Rochester (2), Bureau of Economic Analysis (2)","Applied / Public Finance & Taxation (6), Applied / International Trade (5), Macro / Fiscal Policy (5)"
29,12,"National Bureau of Economic Research (3), Princeton University (3), Columbia University (2)","Applied / Political Economy & Governance (5), Applied / International Trade (4), Applied / Education Economics (3)"
30,12,"Institut d'Etudes Politiques de Paris (1), Center for Economic and Policy Research (1), University College London (1)","Applied / Labor Economics (6), Applied / Corporate & Household Finance (4), Applied / Health Economics (3)"
34,11,"University of Michigan (3), Fafo Foundation (3), World Bank (2)","Applied / Political Economy & Governance (6), Applied / Corporate & Household Finance (4), Applied / Development Economics (2)"
35,11,"Instituto Tecnológico Autónomo de México (2), Michigan State University (2), Mexican Social Security Institute (1)","Applied / Health Economics (5), Macro / Financial Markets & Stability (5), Applied / Political Economy & Governance (3)"
32,11,"University of California, Los Angeles (5), Harvard University (2), Tobacco Research Institute (2)","Macro / Monetary Policy & Central Banking (4), Applied / Development Economics (3), Micro / General Economic Theory (3)"
33,11,"Collegio Carlo Alberto (2), University of Turin (2), Escola Brasileira de Economia e Finanças (2)","Micro / Auctions & Market Design (5), Applied / Labor Economics (4), Micro / General Economic Theory (3)"
31,11,"Princeton University (3), University of Bristol (3), Stanford University (3)","Macro / Monetary Policy & Central Banking (5), Micro / General Economic Theory (3), Macro / Fiscal Policy (3)"
