topic,subfield,field,domain,paper_count
Auction Theory and Applications,Management Science and Operations Research,Decision Sciences,Social Sciences,80
Economic theories and models,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,73
Fiscal Policy and Economic Growth,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,68
Diverse Scientific and Economic Studies,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,67
Labor market dynamics and wage inequality,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,64
Monetary Policy and Economic Impact,"General Economics, Econometrics and Finance","Economics, Econometrics and Finance",Social Sciences,61
Global trade and economics,"General Economics, Econometrics and Finance","Economics, Econometrics and Finance",Social Sciences,56
"Banking stability, regulation, efficiency",Finance,"Economics, Econometrics and Finance",Social Sciences,46
Experimental Behavioral Economics Studies,Safety Research,Social Sciences,Social Sciences,42
"Financial Literacy, Pension, Retirement Analysis",Accounting,"Business, Management and Accounting",Social Sciences,40
Consumer Market Behavior and Pricing,Marketing,"Business, Management and Accounting",Social Sciences,40
Game Theory and Applications,Management Science and Operations Research,Decision Sciences,Social Sciences,40
"Gender, Labor, and Family Dynamics",Gender Studies,Social Sciences,Social Sciences,35
Decision-Making and Behavioral Economics,General Decision Sciences,Decision Sciences,Social Sciences,34
"Culture, Economy, and Development Studies",Demography,Social Sciences,Social Sciences,32
Global Financial Crisis and Policies,Finance,"Economics, Econometrics and Finance",Social Sciences,30
School Choice and Performance,Education,Social Sciences,Social Sciences,27
Corporate Finance and Governance,Accounting,"Business, Management and Accounting",Social Sciences,26
Human auditory perception and evaluation,Aerospace Engineering,Engineering,Physical Sciences,25
Financial Markets and Investment Strategies,Finance,"Economics, Econometrics and Finance",Social Sciences,25
Economic Growth and Productivity,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,25
Healthcare Policy and Management,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,25
Housing Market and Economics,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,24
Advanced Causal Inference Techniques,Statistics and Probability,Mathematics,Physical Sciences,24
Legal principles and applications,Law,Social Sciences,Social Sciences,24
Game Theory and Voting Systems,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,23
Media Influence and Politics,Sociology and Political Science,Social Sciences,Social Sciences,22
Employment and Welfare Studies,General Health Professions,Health Professions,Health Sciences,18
"Law, Economics, and Judicial Systems",Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,17
Economic Theory and Policy,"General Economics, Econometrics and Finance","Economics, Econometrics and Finance",Social Sciences,16
Statistical Methods and Inference,Statistics and Probability,Mathematics,Physical Sciences,15
Intergenerational and Educational Inequality Studies,Sociology and Political Science,Social Sciences,Social Sciences,14
Economic Theory and Institutions,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,14
Regional Economics and Spatial Analysis,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,14
Economic and Environmental Valuation,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,13
