author_a,author_b,shared_papers
Mira Frick,Ryota Iijima,5
Michela Carlana,Eliana La Ferrara,4
Olivier Coibion,Yuriy Gorodnichenko,4
Ryota Iijima,Yuhta Ishii,4
Kei Kawai,Jun Nakabayashi,4
Mira Frick,Yuhta Ishii,4
Zhengyang Jiang,Hanno Lustig,3
Gene M. Grossman,Elhanan Helpman,3
Alexander W. Cappelen,Bertil Tungodden,3
Paolo Pinotti,Eliana La Ferrara,3
Paolo Pinotti,Michela Carlana,3
Pedro Bordalo,Nicola Gennaioli,3
Scott Duke Kominers,Mohammad Akbarpour,3
Panle Jia Barwick,Shanjun Li,3
Asuman Ozdaglar,Daron Acemoğlu,3
David Baqaee,Emmanuel Farhi,3
Victor Chernozhukov,Iván Fernández‐Val,3
Arnaud Costinot,Dave Donaldson,3
Philipp Strack,Omer Tamuz,3
Leonardo Bursztyn,Aakaash Rao,3
Olivier Coibion,Michael Weber,3
Kyle Herkenhoff,Gordon M. Phillips,3
Fernando Álvarez,Francesco Lippi,3
Yuriy Gorodnichenko,Michael Weber,3
Gregor Matvos,Amit Seru,3
Jun Nakabayashi,Juan Ortner,3
Kei Kawai,Juan Ortner,3
Scott Carrell,David Figlio,2
Mark Egan,Amit Seru,2
Victor Chernozhukov,Mert Demirer,2
Victor Chernozhukov,Whitney K. Newey,2
Raj Chetty,John N. Friedman,2
Benjamin Collier,Cameron Ellis,2
Aseem Patel,Lawrence Warren,2
Mert Demirer,Iván Fernández‐Val,2
Shubhdeep Deb,Lawrence Warren,2
Shubhdeep Deb,Aseem Patel,2
Dave Donaldson,Rodrigo Adão,2
Scott Carrell,Lester Lusher,2
Benny Moldovanu,Mengxi Zhang,2
Mark Armstrong,John Vickers,2
David Figlio,Lester Lusher,2
Natalie Bau,Tahir Andrabi,2
Natalie Bau,Jishnu Das,2
Natalie Bau,Asim Ijaz Khwaja,2
Sang Mok Lee,Daniel Rappoport,2
Hanno Lustig,Mindy Z. Xiaolan,2
Peter Schwardmann,Joël J. van der Weele,2
David Thesmar,David Sraer,2
David Seim,Arash Nekoei,2
Dimitris Georgarakos,Geoff Kenny,2
Achyuta Adhvaryu,Anant Nyshadham,2
Arun G. Chandrasekhar,Emily Breza,2
Magne Mogstad,Daniel Wilhelm,2
James Cloyne,Nicholas Dimsdale,2
Yuriy Gorodnichenko,Saten Kumar,2
Daniel Yi Xu,Zhikuo Liu,2
Dmitry Mukhin,Oleg Itskhoki,2
Yuriy Gorodnichenko,Dimitris Georgarakos,2
Yuriy Gorodnichenko,Geoff Kenny,2
Benjamin Brooks,Emir Kamenica,2
Daniel Yi Xu,Chen Zhao,2
Danielle Li,Lindsey Raymond,2
Jiaying Gu,Roger Koenker,2
Alexander Frankel,Emir Kamenica,2
Daniel Neuhann,Guillermo Ordóñez,2
Antoine Bozio,Arthur Guillouzouic,2
Leonardo Bursztyn,Christopher Roth,2
Mark Egan,Gregor Matvos,2
Dilip Abreu,Mihai Manea,2
Loren Brandt,Diego Restuccia,2
Michael Weber,Dimitris Georgarakos,2
Michael Weber,Geoff Kenny,2
Tasso Adamopoulos,Diego Restuccia,2
Tasso Adamopoulos,Loren Brandt,2
Esteban Méndez,Diana Van Patten,2
David Huffman,Collin Raymond,2
Arun G. Chandrasekhar,Matthew O. Jackson,2
Ryan Hill,Carolyn Stein,2
Arun G. Chandrasekhar,Abhijit Banerjee,2
Pablo Ottonello,Diego Pérez,2
Magne Mogstad,Joseph P. Romano,2
Paola Manzini,Marco Mariotti,2
David Baqaee,Ariel Burstein,2
Gilat Levy,Ronny Razin,2
Kyle Greenberg,Matthew Gudgeon,2
Stefanie Stantcheva,Kristoffer Balle Hvidberg,2
Stefanie Stantcheva,Claus Thustrup Kreiner,2
Hunt Allcott,Dmitry Taubinsky,2
Tarek A. Hassan,Ahmed Tahoun,2
Christine L. Exley,Judd B. Kessler,2
Mariacristina De Nardi,Margherita Borella,2
Alex Gershkov,Mengxi Zhang,2
Emi Nakamura,Jón Steinsson,2
Alex Gershkov,Benny Moldovanu,2
Adrien Auclert,Matthew Rognlie,2
Piotr Dworczak,Mohammad Akbarpour,2
Simon Jäger,Benjamin Schoefer,2
Azeem M. Shaikh,Joseph P. Romano,2
Guojun He,Shaoda Wang,2
Chen Zhao,Zhikuo Liu,2
Evan K. Rose,Yotam Shem-Tov,2
Robert Shimer,Kataŕına Borovičková,2
Stijn Van Nieuwerburgh,Zhengyang Jiang,2
Stijn Van Nieuwerburgh,Hanno Lustig,2
Azeem M. Shaikh,Magne Mogstad,2
Stijn Van Nieuwerburgh,Mindy Z. Xiaolan,2
Faruk Gül,Wolfgang Pesendorfer,2
Clément Malgouyres,Arthur Guillouzouic,2
Dmitry Taubinsky,Benjamin Lockwood,2
Olle Folke,Johanna Rickne,2
Yingni Guo,Eran Shmaya,2
Amit Seru,Tomasz Piskorski,2
Andrei A. Levchenko,Nitya Pandalai-Nayar,2
Luciano Pomatto,Omer Tamuz,2
Scott Duke Kominers,Piotr Dworczak,2
Raj Chetty,Nathaniel Hendren,2
Charles Boissel,Adrien Matray,2
Emil Verner,Stephan Luck,2
Joseph P. Romano,Daniel Wilhelm,2
Mássimo Marinacci,Aldo Rustichini,2
Mássimo Marinacci,Fabio Maccheroni,2
Daniel Yi Xu,Juan Carlos Suárez Serrato,2
Ignacio Esponda,Emanuel Vespa,2
Daron Acemoğlu,James Siderius,2
Philip Ushchev,Yves Zénou,2
Pinelopi Goldberg,Tristan Reed,2
Can Urgun,Leeat Yariv,2
Matthieu Gomez,Émilien Gouin-Bonenfant,2
Jérôme Adda,Christian Dustmann,2
Kristoffer Balle Hvidberg,Claus Thustrup Kreiner,2
Abhijit Banerjee,Emily Breza,2
Patrick Kline,Evan K. Rose,2
Vladimir Asriyan,Victoria Vanasco,2
Azeem M. Shaikh,Daniel Wilhelm,2
Marina Halac,Pierre Yared,2
Jishnu Das,Asim Ijaz Khwaja,2
Tahir Andrabi,Asim Ijaz Khwaja,2
Tahir Andrabi,Jishnu Das,2
Zhengyang Jiang,Mindy Z. Xiaolan,2
Yusufcan Masatlıoĝlu,Collin Raymond,2
John Eric Humphries,Winnie van Dijk,2
Peter Christensen,Christopher Timmins,2
Simon Grant,Jingni Yang,2
Alexey Makarin,Vasily Korovkin,2
Juan Carlos Suárez Serrato,Chen Zhao,2
Sevgi Yüksel,Ignacio Esponda,2
Juan Carlos Suárez Serrato,Zhikuo Liu,2
Annie Liang,Xiaosheng Mu,2
Johannes Haushofer,Paul Niehaus,2
Benjamin Brooks,Alexander Frankel,2
Pedro Bordalo,Andrei Shleifer,2
Fernando Álvarez,David Argente,2
Juan Pablo Nicolini,Pedro Teles,2
Nicola Gennaioli,Andrei Shleifer,2
Navin Kartik,Daniel Rappoport,2
Navin Kartik,Sang Mok Lee,2
Victor Ronda,James J. Heckman,2
Dirk Bergemann,Alessandro Bonatti,2
Yueran Ma,Spencer Yongwook Kwon,2
Asuman Ozdaglar,James Siderius,2
Ingvild Almås,Pamela Jervis,2
Harold L. Cole,Daniel Neuhann,2
Harold L. Cole,Guillermo Ordóñez,2
Zoë Cullen,Ricardo Pérez-Truglia,2
Peter Ganong,Pascal Noel,2
Jeffrey C. Ely,George Georgiadis,2
Edward Miguel,Paul Niehaus,2
Jeffrey C. Ely,Luis Rayo,2
Kyle Herkenhoff,Simon Mongey,2
Christopher Clayton,Andreas Schaab,2
Liran Einav,Amy Finkelstein,2
Kei Kawai,Sylvain Chassang,2
Caroline Le Pennec,Vincent Pons,2
Jun Nakabayashi,Sylvain Chassang,2
Liran Einav,Neale Mahoney,2
Ludwig Straub,Adrien Auclert,2
Ludwig Straub,Matthew Rognlie,2
Orazio Attanasio,Ingvild Almås,2
Orazio Attanasio,Pamela Jervis,2
Julien Combe,Olivier Tercieux,2
Simon Board,Moritz Meyer-ter-Vehn,2
Mark W. Watson,Ulrich K. Müller,2
J. Carter Braxton,Kyle Herkenhoff,2
Jan Eeckhout,Lawrence Warren,2
Jan Eeckhout,Aseem Patel,2
Jan Eeckhout,Shubhdeep Deb,2
Andrey Ordin,James W. Roberts,2
Erin Kelley,Gregory Lane,2
Sylvain Chassang,Juan Ortner,2
Yeon‐Koo Che,Konrad Mierendorff,2
George Georgiadis,Luis Rayo,2
Martin Beraja,Noam Yuchtman,2
Johannes Haushofer,Edward Miguel,2
Abi Adams‐Prassl,Emily Nix,2
Kristiina M. Huttunen,Emily Nix,2
Olivier Coibion,Geoff Kenny,2
Olivier Coibion,Dimitris Georgarakos,2
Olivier Coibion,Saten Kumar,2
Aakaash Rao,Christopher Roth,2
Philipp Strack,Alex Gershkov,2
Philipp Strack,Luciano Pomatto,2
Philipp Strack,Mengxi Zhang,2
Abi Adams‐Prassl,Kristiina M. Huttunen,2
Philipp Strack,Benny Moldovanu,2
Rohan Kekre,Moritz Lenel,2
Takuo Sugaya,Alexander Wolitzky,2
Arnaud Costinot,Rodrigo Adão,2
Ning Sun,Ning Neil Yu,1
Alain de Janvry,Élisabeth Sadoulet,1
Fuhito Kojima,Christopher Ryan,1
Roberto Corrao,Giacomo Lanzani,1
Alain de Janvry,Guojun He,1
Fuhito Kojima,Jinwoo Kim,1
Elizabeth Baldwin,Paul Klemperer,1
Ravi Jagadeesan,Paul Klemperer,1
Roberto Corrao,Joel P. Flynn,1
Jesús Fernández‐Villaverde,Galo Nuño,1
Paulo Barelli,Robert Wilson,1
Alain de Janvry,Shaoda Wang,1
Rohan Kekre,Loukas Karabarbounis,1
Fuhito Kojima,Ning Neil Yu,1
Alain de Janvry,Qiong Zhang,1
Guojun He,Élisabeth Sadoulet,1
Elizabeth Baldwin,Ravi Jagadeesan,1
Robert Sugden,Jiwei Zheng,1
Guojun He,Qiong Zhang,1
Guojun He,Mark Buntaine,1
Paulo Barelli,Srihari Govindan,1
Guojun He,Michael Greenstone,1
Paulo Barelli,Lucas Siga,1
Guojun He,Mengdi Liu,1
Fuhito Kojima,Yuichiro Kamada,1
Ravi Jagadeesan,Karolina Vocke,1
Fuhito Kojima,Ning Sun,1
Julien Sauvagnat,Fabiano Schivardi,1
V. Bhaskar,Wenchao Li,1
V. Bhaskar,Junjian Yi,1
Wenchao Li,Junjian Yi,1
Junjian Yi,Lawrence Jin,1
Junjian Yi,Rui Tang,1
Junjian Yi,Han Ye,1
Junjian Yi,Songfa Zhong,1
Junjian Yi,Rufei Guo,1
Guido W. Imbens,Alexander Strand,1
Lucas Siga,S. Nageeb Ali,1
Junjian Yi,Junsen Zhang,1
Junjian Yi,Ning Zhang,1
Peter M. DeMarzo,Zhiguo He,1
Peter M. DeMarzo,Fabrice Tourre,1
Zhiguo He,Fabrice Tourre,1
Sourav Bhattacharya,Lucas Siga,1
Zhiguo He,Maggie Hu,1
Yeon‐Koo Che,Fuhito Kojima,1
Yeon‐Koo Che,Jinwoo Kim,1
Zhiguo He,Zhenping Wang,1
Marcela Eslava,John Haltiwanger,1
Marcela Eslava,Nicolás Urdaneta,1
John Haltiwanger,Nicolás Urdaneta,1
John Haltiwanger,Henry R. Hyatt,1
John Haltiwanger,James R. Spletzer,1
Morris M. Kleiner,Evan Soltas,1
Yeon‐Koo Che,Kyungmin Kim,1
Paulo Barelli,Sourav Bhattacharya,1
Rohan Kekre,Gabriel Chodorow-Reich,1
Guojun He,Bing Zhang,1
Élisabeth Sadoulet,Qiong Zhang,1
Vittorio Bassi,Raffaela Muoio,1
Carl Lieberman,Zhuan Pei,1
Michael Kremer,Joost de Laat,1
Michael Kremer,Tavneet Suri,1
Joost de Laat,Tavneet Suri,1
Christina Korting,Carl Lieberman,1
Christina Korting,Jordan Matsudaira,1
Christina Korting,Zhuan Pei,1
Christina Korting,Yi Shen,1
Florian Ederer,Mireia Giné,1
Carl Lieberman,Jordan Matsudaira,1
Ritwika Sen,Esau Tugume,1
Laurence Ales,Christopher Sleet,1
Miguel Antón,Martin C. Schmalz,1
Carl Lieberman,Yi Shen,1
William Jack,Tavneet Suri,1
Miguel Antón,Mireia Giné,1
Jordan Matsudaira,Zhuan Pei,1
