tag_a,tag_b,total,early_2022_23,late_2024_25,growth_rate_pct
Macro / Financial Markets & Stability,Micro / General Economic Theory,90,54,36,-40.0
Applied / Other / Interdisciplinary,Applied / Political Economy & Governance,84,36,48,28.6
Macro / Financial Markets & Stability,Macro / Monetary Policy & Central Banking,74,44,30,-37.8
Applied / Corporate & Household Finance,Macro / Financial Markets & Stability,72,39,33,-16.7
Macro / Monetary Policy & Central Banking,Micro / General Economic Theory,69,40,29,-31.9
Micro / Auctions & Market Design,Micro / Game Theory & Mechanism Design,66,46,20,-78.8
Micro / Behavioral & Experimental Economics,Micro / Game Theory & Mechanism Design,53,34,19,-56.6
Micro / Auctions & Market Design,Micro / Industrial Organization & Competition,51,28,23,-19.6
Applied / Other / Interdisciplinary,Micro / Industrial Organization & Competition,47,21,26,21.3
Applied / Development Economics,Applied / Other / Interdisciplinary,47,26,21,-21.3
Applied / Public Finance & Taxation,Macro / Fiscal Policy,43,24,19,-23.3
Micro / Auctions & Market Design,Micro / Behavioral & Experimental Economics,42,31,11,-95.2
Applied / Other / Interdisciplinary,Micro / Behavioral & Experimental Economics,42,21,21,0.0
Applied / Labor Economics,Macro / Fiscal Policy,42,21,21,0.0
Applied / Labor Economics,Micro / Industrial Organization & Competition,41,27,14,-63.4
Applied / Development Economics,Applied / Labor Economics,40,22,18,-20.0
Applied / Education Economics,Applied / Labor Economics,38,20,18,-10.5
Applied / Health Economics,Applied / Other / Interdisciplinary,37,14,23,48.6
Macro / Business Cycles & Growth,Macro / Fiscal Policy,37,20,17,-16.2
Applied / Development Economics,Micro / Industrial Organization & Competition,33,14,19,30.3
Applied / Corporate & Household Finance,Applied / Other / Interdisciplinary,33,5,28,139.4
Applied / Other / Interdisciplinary,Micro / Game Theory & Mechanism Design,32,14,18,25.0
Applied / Corporate & Household Finance,Applied / Labor Economics,32,17,15,-12.5
Applied / Development Economics,Applied / Political Economy & Governance,31,17,14,-19.4
Applied / Corporate & Household Finance,Micro / General Economic Theory,31,20,11,-58.1
Applied / International Trade,Macro / Business Cycles & Growth,30,16,14,-13.3
Applied / International Trade,Micro / Industrial Organization & Competition,29,18,11,-48.3
Applied / Economic History,Applied / Political Economy & Governance,29,2,27,172.4
Applied / Health Economics,Applied / Labor Economics,28,11,17,42.9
Macro / Financial Markets & Stability,Macro / Fiscal Policy,28,17,11,-42.9
Macro / Fiscal Policy,Macro / Monetary Policy & Central Banking,27,18,9,-66.7
Applied / Political Economy & Governance,Micro / Behavioral & Experimental Economics,26,16,10,-46.2
Applied / Environmental & Energy Economics,Applied / Other / Interdisciplinary,25,10,15,40.0
Applied / Corporate & Household Finance,Macro / Fiscal Policy,25,12,13,8.0
Applied / Labor Economics,Applied / Public Finance & Taxation,24,12,12,0.0
Applied / Other / Interdisciplinary,Econometrics / Statistical & Bayesian Methods,24,9,15,50.0
Macro / Business Cycles & Growth,Micro / Industrial Organization & Competition,24,14,10,-33.3
Applied / Political Economy & Governance,Micro / Game Theory & Mechanism Design,24,12,12,0.0
Applied / Labor Economics,Applied / Other / Interdisciplinary,24,8,16,66.7
Micro / Game Theory & Mechanism Design,Micro / Industrial Organization & Competition,24,13,11,-16.7
Applied / Environmental & Energy Economics,Micro / Behavioral & Experimental Economics,23,14,9,-43.5
Micro / Auctions & Market Design,Micro / General Economic Theory,23,14,9,-43.5
Micro / Game Theory & Mechanism Design,Micro / General Economic Theory,23,14,9,-43.5
Applied / Corporate & Household Finance,Applied / Development Economics,22,11,11,0.0
Macro / Business Cycles & Growth,Micro / General Economic Theory,22,13,9,-36.4
Applied / Labor Economics,Macro / Business Cycles & Growth,21,9,12,28.6
Applied / Political Economy & Governance,Micro / Auctions & Market Design,21,14,7,-66.7
Applied / Education Economics,Applied / Other / Interdisciplinary,21,8,13,47.6
Applied / Corporate & Household Finance,Micro / Industrial Organization & Competition,20,12,8,-40.0
