level1,level2,early_2022_23,late_2024_25,total,growth_rate_pct
Econometrics,Machine Learning in Economics,5,14,19,94.7
Econometrics,Time Series & Panel Data Methods,3,6,9,66.7
Econometrics,Statistical & Bayesian Methods,12,22,34,58.8
Applied,Political Economy & Governance,43,77,120,56.7
Applied,Other / Interdisciplinary,53,81,134,41.8
Applied,Health Economics,31,45,76,36.8
Applied,International Trade,27,38,65,33.8
Applied,Urban & Regional Economics,16,22,38,31.6
Micro,Game Theory & Mechanism Design,28,37,65,27.7
Applied,Environmental & Energy Economics,26,33,59,23.7
Applied,Labor Economics,80,101,181,23.2
Micro,Industrial Organization & Competition,47,51,98,8.2
Macro,Financial Markets & Stability,73,78,151,6.6
Macro,Business Cycles & Growth,18,19,37,5.4
Applied,Education Economics,35,35,70,0.0
Applied,Development Economics,60,52,112,-14.3
Macro,Monetary Policy & Central Banking,34,28,62,-19.4
Applied,Economic History,10,8,18,-22.2
Macro,Fiscal Policy,44,34,78,-25.6
Applied,Corporate & Household Finance,50,38,88,-27.3
Econometrics,Causal Inference & Identification,15,11,26,-30.8
Micro,Behavioral & Experimental Economics,46,32,78,-35.9
Applied,Public Finance & Taxation,17,10,27,-51.9
Micro,Auctions & Market Design,52,28,80,-60.0
Micro,General Economic Theory,67,36,103,-60.2
