level1,level2,paper_count
Applied,Labor Economics,181
Macro,Financial Markets & Stability,151
Applied,Other / Interdisciplinary,134
Applied,Political Economy & Governance,120
Applied,Development Economics,112
Micro,General Economic Theory,103
Micro,Industrial Organization & Competition,98
Applied,Corporate & Household Finance,88
Micro,Auctions & Market Design,80
Macro,Fiscal Policy,78
Micro,Behavioral & Experimental Economics,78
Applied,Health Economics,76
Applied,Education Economics,70
Applied,International Trade,65
Micro,Game Theory & Mechanism Design,65
Macro,Monetary Policy & Central Banking,62
Applied,Environmental & Energy Economics,59
Applied,Urban & Regional Economics,38
Macro,Business Cycles & Growth,37
Econometrics,Statistical & Bayesian Methods,34
Applied,Public Finance & Taxation,27
Econometrics,Causal Inference & Identification,26
Econometrics,Machine Learning in Economics,19
Applied,Economic History,18
Econometrics,Time Series & Panel Data Methods,9
