paper_id,rank,topic,score,subfield,field,domain
https://openalex.org/W4221040930,1,Market Dynamics and Volatility,0.9983000159263611,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences
https://openalex.org/W4221040930,2,Risk Management in Financial Firms,0.9879000186920166,Accounting,"Business, Management and Accounting",Social Sciences
https://openalex.org/W4221040930,3,Economic Sanctions and International Relations,0.947700023651123,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences
https://openalex.org/W4307559973,1,Media Influence and Politics,0.9789999723434448,Sociology and Political Science,Social Sciences,Social Sciences
https://openalex.org/W4307559973,2,Social Capital and Networks,0.9710999727249146,Sociology and Political Science,Social Sciences,Social Sciences
https://openalex.org/W4307559973,3,Intergenerational and Educational Inequality Studies,0.957099974155426,Sociology and Political Science,Social Sciences,Social Sciences
https://openalex.org/W3150456531,1,COVID-19 Pandemic Impacts,0.9966999888420105,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences
https://openalex.org/W3150456531,2,Monetary Policy and Economic Impact,0.9950000047683716,"General Economics, Econometrics and Finance","Economics, Econometrics and Finance",Social Sciences
https://openalex.org/W3150456531,3,Fiscal Policy and Economic Growth,0.9871000051498413,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences
https://openalex.org/W4224235032,1,"Urban, Neighborhood, and Segregation Studies",0.9998999834060669,Sociology and Political Science,Social Sciences,Social Sciences
https://openalex.org/W4224235032,2,Migration and Labor Dynamics,0.9904000163078308,Sociology and Political Science,Social Sciences,Social Sciences
https://openalex.org/W4224235032,3,Regional Economics and Spatial Analysis,0.9855999946594238,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences
https://openalex.org/W3194604013,1,Advanced Causal Inference Techniques,0.9980000257492065,Statistics and Probability,Mathematics,Physical Sciences
https://openalex.org/W3194604013,2,Statistical Methods and Inference,0.996999979019165,Statistics and Probability,Mathematics,Physical Sciences
https://openalex.org/W3194604013,3,Statistical Methods and Bayesian Inference,0.9929999709129333,Statistics and Probability,Mathematics,Physical Sciences
https://openalex.org/W4221066757,1,Fiscal Policy and Economic Growth,0.9995999932289124,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences
https://openalex.org/W4221066757,2,Labor market dynamics and wage inequality,0.9941999912261963,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences
https://openalex.org/W4221066757,3,"Gender, Labor, and Family Dynamics",0.9940999746322632,Gender Studies,Social Sciences,Social Sciences
https://openalex.org/W3207075005,1,Monetary Policy and Economic Impact,0.9995999932289124,"General Economics, Econometrics and Finance","Economics, Econometrics and Finance",Social Sciences
https://openalex.org/W3207075005,2,Market Dynamics and Volatility,0.9940000176429749,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences
https://openalex.org/W3207075005,3,Fiscal Policies and Political Economy,0.9922999739646912,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences
https://openalex.org/W3150052525,1,Gender Politics and Representation,0.9851999878883362,Gender Studies,Social Sciences,Social Sciences
https://openalex.org/W3150052525,2,"Poverty, Education, and Child Welfare",0.9797999858856201,Safety Research,Social Sciences,Social Sciences
https://openalex.org/W3150052525,3,Media Influence and Politics,0.9779000282287598,Sociology and Political Science,Social Sciences,Social Sciences
https://openalex.org/W3148423552,1,Economic theories and models,0.9962000250816345,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences
https://openalex.org/W3148423552,2,Economic Theory and Policy,0.995199978351593,"General Economics, Econometrics and Finance","Economics, Econometrics and Finance",Social Sciences
https://openalex.org/W3148423552,3,Monetary Policy and Economic Impact,0.988099992275238,"General Economics, Econometrics and Finance","Economics, Econometrics and Finance",Social Sciences
https://openalex.org/W3104995281,1,"Populism, Right-Wing Movements",0.9986000061035156,Political Science and International Relations,Social Sciences,Social Sciences
https://openalex.org/W3104995281,2,Media Influence and Politics,0.9914000034332275,Sociology and Political Science,Social Sciences,Social Sciences
https://openalex.org/W3104995281,3,Electoral Systems and Political Participation,0.9262999892234802,Political Science and International Relations,Social Sciences,Social Sciences
https://openalex.org/W4283700098,1,Firm Innovation and Growth,0.9976999759674072,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences
https://openalex.org/W4283700098,2,Labor market dynamics and wage inequality,0.991100013256073,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences
https://openalex.org/W4283700098,3,Economic theories and models,0.9879999756813049,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences
https://openalex.org/W4283705510,1,Impact of Technology on Adolescents,0.9865999817848206,Sociology and Political Science,Social Sciences,Social Sciences
https://openalex.org/W4283705510,2,Digital Marketing and Social Media,0.9713000059127808,Sociology and Political Science,Social Sciences,Social Sciences
https://openalex.org/W4283705510,3,Technology Adoption and User Behaviour,0.9660000205039978,Information Systems and Management,Decision Sciences,Social Sciences
https://openalex.org/W3150080251,1,Economic and Environmental Valuation,0.991599977016449,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences
https://openalex.org/W3150080251,2,"Energy, Environment, Economic Growth",0.9664999842643738,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences
https://openalex.org/W3150080251,3,Environmental Justice and Health Disparities,0.9642000198364258,Sociology and Political Science,Social Sciences,Social Sciences
https://openalex.org/W4293568582,1,Experimental Behavioral Economics Studies,0.9998000264167786,Safety Research,Social Sciences,Social Sciences
https://openalex.org/W4293568582,2,"Culture, Economy, and Development Studies",0.9926999807357788,Demography,Social Sciences,Social Sciences
https://openalex.org/W4293568582,3,Economic Policies and Impacts,0.9871000051498413,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences
https://openalex.org/W4392295937,1,China's Socioeconomic Reforms and Governance,0.9957000017166138,Political Science and International Relations,Social Sciences,Social Sciences
https://openalex.org/W4392295937,2,"Energy, Environment, Economic Growth",0.9643999934196472,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences
https://openalex.org/W4392295937,3,Regulation and Compliance Studies,0.9301000237464905,Strategy and Management,"Business, Management and Accounting",Social Sciences
https://openalex.org/W2909598045,1,"Migration, Ethnicity, and Economy",0.9962999820709229,Sociology and Political Science,Social Sciences,Social Sciences
https://openalex.org/W2909598045,2,Migration and Labor Dynamics,0.9958999752998352,Sociology and Political Science,Social Sciences,Social Sciences
https://openalex.org/W2909598045,3,Global trade and economics,0.9929999709129333,"General Economics, Econometrics and Finance","Economics, Econometrics and Finance",Social Sciences
https://openalex.org/W4313303421,1,"Culture, Economy, and Development Studies",0.9883000254631042,Demography,Social Sciences,Social Sciences
https://openalex.org/W4313303421,2,Political Conflict and Governance,0.982699990272522,Sociology and Political Science,Social Sciences,Social Sciences
https://openalex.org/W4313303421,3,Environmental and Biological Research in Conflict Zones,0.9685999751091003,"Management, Monitoring, Policy and Law",Environmental Science,Physical Sciences
https://openalex.org/W4408999048,1,Climate Change Communication and Perception,0.9991000294685364,Sociology and Political Science,Social Sciences,Social Sciences
https://openalex.org/W4408999048,2,Environmental Education and Sustainability,0.9990000128746033,"Management, Monitoring, Policy and Law",Environmental Science,Physical Sciences
https://openalex.org/W4408999048,3,Social Acceptance of Renewable Energy,0.9914000034332275,Sociology and Political Science,Social Sciences,Social Sciences
https://openalex.org/W4310177461,1,Labor market dynamics and wage inequality,0.9986000061035156,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences
https://openalex.org/W4310177461,2,Employment and Welfare Studies,0.9951000213623047,General Health Professions,Health Professions,Health Sciences
https://openalex.org/W4310177461,3,Taxation and Compliance Studies,0.9869999885559082,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences
https://openalex.org/W3152000341,1,Economic Growth and Productivity,0.9994000196456909,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences
https://openalex.org/W3152000341,2,Firm Innovation and Growth,0.9983999729156494,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences
https://openalex.org/W3152000341,3,Intellectual Capital and Performance Analysis,0.9793000221252441,Strategy and Management,"Business, Management and Accounting",Social Sciences
https://openalex.org/W4382721316,1,Experimental Behavioral Economics Studies,0.9883999824523926,Safety Research,Social Sciences,Social Sciences
https://openalex.org/W4382721316,2,Corporate Finance and Governance,0.9876999855041504,Accounting,"Business, Management and Accounting",Social Sciences
https://openalex.org/W4382721316,3,"Culture, Economy, and Development Studies",0.9815999865531921,Demography,Social Sciences,Social Sciences
https://openalex.org/W4392295948,1,Market Dynamics and Volatility,0.9975000023841858,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences
https://openalex.org/W4392295948,2,Monetary Policy and Economic Impact,0.9959999918937683,"General Economics, Econometrics and Finance","Economics, Econometrics and Finance",Social Sciences
https://openalex.org/W4392295948,3,"Energy, Environment, Economic Growth",0.9639000296592712,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences
https://openalex.org/W3124765710,1,Local Government Finance and Decentralization,0.9966999888420105,Political Science and International Relations,Social Sciences,Social Sciences
https://openalex.org/W3124765710,2,Fiscal Policies and Political Economy,0.9944999814033508,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences
https://openalex.org/W3124765710,3,Fiscal Policy and Economic Growth,0.9943000078201294,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences
